,poistion_rank,first_name,last_name,injuryr_status
1035,SG3,ben,mclemore,active
1036,SG5,cj,elleby,active
1037,SG7,jarron,cumberland,active
1038,SF2,nassir,little,active
1039,SF4,larry,nance-jr.,active
1040,SF6,cj,elleby,active
1041,SF8,robert,covington,active
1042,SF10,jarron,cumberland,active
1043,PF1,larry,nance-jr.,active
1044,PF3,nassir,little,active
1045,PF5,greg,brown-iii,active
1046,PF7,reggie,perry,active
1047,C2,cody,zeller,active
1048,C4,robert,covington,active
1049,C6,reggie,perry,active
1050,PG1,de'aaron,fox,active
1051,PG3,tyrese,haliburton,active
1052,PG5,emmanuel,mudiay,active
1053,SG2,buddy,hield,active
1054,SG4,davion,mitchell,active
1055,SG6,jahmi'us,ramsey,active
1056,SF2,terence,davis,active
1057,SF4,maurice,harkless,active
1058,SF6,robert,woodard-ii,active
1059,PF2,chimezie,metu,active
1060,PF4,maurice,harkless,active
1061,PF6,tristan,thompson,active
1062,C1,richaun,holmes,injured
1063,C3,damian,jones,active
1064,C5,marvin,bagley-iii,active
1065,C7,neemias,queta,active
1066,PG1,dejounte,murray,injured
1067,PG3,derrick,white,active
1068,PG5,bryn,forbes,active
1069,SG2,lonnie,walker-iv,injured
1070,SG4,devin,vassell,active
1071,SG6,doug,mcdermott,injured
1072,SG8,jaylen,morris,active
1073,SF2,devin,vassell,active
1074,SF4,keita,bates-diop,injured
1075,SF6,derrick,white,active
1076,SF8,joe,wieskamp,active
1077,PF2,keita,bates-diop,injured
1078,PF4,thaddeus,young,active
1079,PF6,drew,eubanks,active
1080,C1,jakob,poeltl,active
1081,C3,drew,eubanks,active
1082,C5,devontae,cacok,active
1083,PG1,fred,vanvleet,active
1084,PG3,malachi,flynn,active
1085,PG5,david,johnson,injured
1086,SG1,gary,trent-jr.,active
1087,SG3,fred,vanvleet,active
1088,SG5,yuta,watanabe,active
1089,SG7,dalano,banton,active
1090,SF1,og,anunoby,active
1091,SF3,svi,mykhailiuk,active
1092,SF5,justin,champagnie,active
1093,SF7,isaac,bonga,active
1094,PF1,scottie,barnes,injured
1095,PF3,og,anunoby,active
1096,PF5,pascal,siakam,active
1097,PF7,isaac,bonga,active
1098,PF9,juwan,morgan,active
1099,C1,pascal,siakam,active
1100,C3,khem,birch,active
1101,C5,d.j.,wilson,active
1102,C7,daniel,oturu,active
1103,PG1,mike,conley,active
1104,PG3,donovan,mitchell,active
1105,SG1,donovan,mitchell,active
1106,SG3,jordan,clarkson,active
1107,SG5,bojan,bogdanovic,active
1108,SG7,trent,forrest,active
1109,SF1,bojan,bogdanovic,active
1110,SF3,joe,ingles,active
1111,SF5,miye,oni,active
1112,SF7,elijah,hughes,active
1113,PF1,royce,o'neale,active
1114,PF3,rudy,gay,active
1115,PF5,joe,ingles,active
1116,C1,rudy,gobert,active
1117,C3,eric,paschall,injured
1118,C5,udoka,azubuike,active
1119,PG1,spencer,dinwiddie,active
1120,PG3,aaron,holiday,active
1121,PG5,joel,ayayi,active
1122,PG7,jordan,goodwin,active
1123,PG9,brad,wanamaker,active
1124,SG2,aaron,holiday,active
1125,SG4,corey,kispert,active
1126,SG6,joel,ayayi,active
1127,SG9,craig,sword,active
1128,SF2,deni,avdija,active
1129,SF4,kyle,kuzma,active
1130,SF6,davis,bertans,active
1131,PF1,kyle,kuzma,active
1132,PF3,davis,bertans,active
1133,PF5,anthony,gill,active
1134,PF7,thomas,bryant,active
1135,C1,daniel,gafford,active
1136,C3,rui,hachimura,active
1137,C5,thomas,bryant,active
